directors,popularity,stars,title,writers
Frank Darabont,91,"Tim Robbins,Morgan Freeman,Bob Gunton",The Shawshank Redemption,"Stephen King,Frank Darabont"
Francis Ford Coppola,543,"Al Pacino,Robert De Niro,Robert Duvall",The Godfather: Part II,"Francis Ford Coppola,Mario Puzo,1 more credit"
Francis Ford Coppola,131,"Marlon Brando,Al Pacino,James Caan",The Godfather,"Mario Puzo,Francis Ford Coppola,1 more credit"
Christopher Nolan,95,"Christian Bale,Heath Ledger,Aaron Eckhart",The Dark Knight,"Jonathan Nolan,Christopher Nolan,3 more credits"
Steven Spielberg,273,"Liam Neeson,Ralph Fiennes,Ben Kingsley",Schindler's List,"Thomas Keneally,Steven Zaillian"
Sidney Lumet,228,"Henry Fonda,Lee J. Cobb,Martin Balsam",12 Angry Men,"Reginald Rose,Reginald Rose"
Peter Jackson,350,"Elijah Wood,Viggo Mortensen,Ian McKellen",The Lord of the Rings: The Return of the King,"J.R.R. Tolkien,Fran Walsh,2 more credits"
Quentin Tarantino,64,"John Travolta,Uma Thurman,Samuel L. Jackson",Pulp Fiction,"Quentin Tarantino,Roger Avary,1 more credit"
Sergio Leone,611,"Clint Eastwood,Eli Wallach,Lee Van Cleef","The Good, the Bad and the Ugly","Luciano Vincenzoni,Sergio Leone,4 more credits"
Peter Jackson,196,"Elijah Wood,Ian McKellen,Orlando Bloom",The Lord of the Rings: The Fellowship of the Ring,"J.R.R. Tolkien,Fran Walsh,2 more credits"
David Fincher,209,"Brad Pitt,Edward Norton,Meat Loaf",Fight Club,"Chuck Palahniuk,Jim Uhls"
Robert Zemeckis,173,"Tom Hanks,Robin Wright,Gary Sinise",Forrest Gump,"Winston Groom,Eric Roth"
Irvin Kershner,823,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode V - The Empire Strikes Back,"Leigh Brackett,Lawrence Kasdan,1 more credit"
Christopher Nolan,162,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",Inception,Christopher Nolan
Peter Jackson,662,"Elijah Wood,Ian McKellen,Viggo Mortensen",The Lord of the Rings: The Two Towers,"J.R.R. Tolkien,Fran Walsh,3 more credits"
Milos Forman,472,"Jack Nicholson,Louise Fletcher,Will Sampson",One Flew Over the Cuckoo's Nest,"Lawrence Hauben,Bo Goldman,2 more credits"
Katsuhiro Ôtomo,,"Mitsuo Iwata,Nozomu Sasaki,Mami Koyama",Akira,"Katsuhiro Ôtomo,Izô Hashimoto,1 more credit"
Gary Trousdale,"1,162","Paige O'Hara,Robby Benson,Jesse Corti",Beauty and the Beast,"Linda Woolverton,Brenda Chapman,9 more credits"
Nishikant Kamat,,"Ajay Devgn,Shriya Saran,Tabu",Drishyam,"Jeethu Joseph,Upendra Sidhaye"
Wim Wenders,"2,844","Harry Dean Stanton,Nastassja Kinski,Dean Stockwell","Paris, Texas","L.M. Kit Carson,Sam Shepard,1 more credit"
Anurag Kashyap,"3,049","Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui",Gangs of Wasseypur,"Akhilesh Jaiswal,Anurag Kashyap,2 more credits"
Gore Verbinski,600,"Johnny Depp,Geoffrey Rush,Orlando Bloom",Pirates of the Caribbean: The Curse of the Black Pearl,"Ted Elliott,Terry Rossio,4 more credits"
Hayao Miyazaki,"4,226","Anna Paquin,James Van Der Beek,Cloris Leachman",Castle in the Sky,Hayao Miyazaki
Richard Linklater,"2,255","Ethan Hawke,Julie Delpy,Vernon Dobtcheff",Before Sunset,"Richard Linklater,Julie Delpy,5 more credits"
Steven Spielberg,363,"Roy Scheider,Robert Shaw,Richard Dreyfuss",Jaws,"Peter Benchley,Carl Gottlieb,1 more credit"
Victor Fleming,955,"Judy Garland,Frank Morgan,Ray Bolger",The Wizard of Oz,"Noel Langley,Florence Ryerson,3 more credits"
James Gunn,142,"Chris Pratt,Vin Diesel,Bradley Cooper",Guardians of the Galaxy,"James Gunn,Nicole Perlman,9 more credits"
Harold Ramis,"1,179","Bill Murray,Andie MacDowell,Chris Elliott",Groundhog Day,"Danny Rubin,Harold Ramis,1 more credit"
Richard Kelly,367,"Jake Gyllenhaal,Jena Malone,Mary McDonnell",Donnie Darko,Richard Kelly
Richard Attenborough,"2,631","Ben Kingsley,John Gielgud,Rohini Hattangadi",Gandhi,John Briley
Tate Taylor,476,"Emma Stone,Viola Davis,Octavia Spencer",The Help,"Tate Taylor,Kathryn Stockett"
John Huston,"4,662","Humphrey Bogart,Mary Astor,Gladys George",The Maltese Falcon,"John Huston,Dashiell Hammett"
Kar-Wai Wong,"2,140","Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu",In the Mood for Love,Kar-Wai Wong
Mathieu Kassovitz,,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui",La Haine,Mathieu Kassovitz
Chan-wook Park,941,"Min-hee Kim,Jung-woo Ha,Jin-Woong Cho",The Handmaiden,"Sarah Waters,Seo-kyeong Jeong,1 more credit"
James Cameron,286,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",The Terminator,"James Cameron,Gale Anne Hurd,1 more credit"
John Ford,"3,759","Henry Fonda,Jane Darwell,John Carradine",The Grapes of Wrath,"Nunnally Johnson,John Steinbeck"
Peter Weir,566,"Robin Williams,Robert Sean Leonard,Ethan Hawke",Dead Poets Society,Tom Schulman
Pete Docter,"1,190","Billy Crystal,John Goodman,Mary Gibbs","Monsters, Inc.","Pete Docter,Jill Culton,10 more credits"
Hideaki Anno,,"Megumi Ogata,Megumi Hayashibara,Yûko Miyamura",Neon Genesis Evangelion: The End of Evangelion,Hideaki Anno
George Roy Hill,"1,981","Paul Newman,Robert Redford,Katharine Ross",Butch Cassidy and the Sundance Kid,William Goldman
John G. Avildsen,594,"Sylvester Stallone,Talia Shire,Burt Young",Rocky,Sylvester Stallone
Rob Reiner,202,"Cary Elwes,Mandy Patinkin,Robin Wright",The Princess Bride,"William Goldman,William Goldman"
Stanley Kubrick,"1,610","Ryan O'Neal,Marisa Berenson,Patrick Magee",Barry Lyndon,"Stanley Kubrick,William Makepeace Thackeray"
Hayao Miyazaki,"3,891","Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda",Nausicaä of the Valley of the Wind,"Hayao Miyazaki,Hayao Miyazaki,2 more credits"
Andrei Tarkovsky,,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko",Andrei Rublev,"Andrey Konchalovskiy,Andrei Tarkovsky"
David Yates,207,"Daniel Radcliffe,Emma Watson,Rupert Grint",Harry Potter and the Deathly Hallows: Part 2,"Steve Kloves,J.K. Rowling"
Alejandro G. Iñárritu,"3,762","Emilio Echevarría,Gael García Bernal,Goya Toledo",Amores Perros,Guillermo Arriaga
Tom McCarthy,500,"Mark Ruffalo,Michael Keaton,Rachel McAdams",Spotlight,"Josh Singer,Tom McCarthy"
Steven Spielberg,613,"Leonardo DiCaprio,Tom Hanks,Christopher Walken",Catch Me If You Can,"Jeff Nathanson,Frank Abagnale Jr.,1 more credit"
Ron Howard,"1,163","Daniel Brühl,Chris Hemsworth,Olivia Wilde",Rush,Peter Morgan
Lasse Hallström,,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",Hachi: A Dog's Tale,"Stephen P. Lindsey,Kaneto Shindô"
James Mangold,439,"Hugh Jackman,Patrick Stewart,Dafne Keen",Logan,"James Mangold,Scott Frank,2 more credits"
George Miller,158,"Tom Hardy,Charlize Theron,Nicholas Hoult",Mad Max: Fury Road,"George Miller,Brendan McCarthy,1 more credit"
Terry George,"3,477","Don Cheadle,Sophie Okonedo,Joaquin Phoenix",Hotel Rwanda,"Keir Pearson,Terry George"
Denis Villeneuve,381,"Hugh Jackman,Jake Gyllenhaal,Viola Davis",Prisoners,Aaron Guzikowski
Clint Eastwood,"1,540","Hilary Swank,Clint Eastwood,Morgan Freeman",Million Dollar Baby,"Paul Haggis,F.X. Toole"
Richard Linklater,"1,576","Ethan Hawke,Julie Delpy,Andrea Eckert",Before Sunrise,"Richard Linklater,Kim Krizan"
Steve McQueen,575,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",12 Years a Slave,"John Ridley,Solomon Northup"
Terry Jones,"2,507","Graham Chapman,John Cleese,Michael Palin",Monty Python's Life of Brian,"Graham Chapman,John Cleese,4 more credits"
William Wyler,"2,783","Charlton Heston,Jack Hawkins,Stephen Boyd",Ben-Hur,"Lew Wallace,Karl Tunberg"
Sidney Lumet,"1,533","Faye Dunaway,William Holden,Peter Finch",Network,Paddy Chayefsky
Ingmar Bergman,"3,440","Bibi Andersson,Liv Ullmann,Margaretha Krook",Persona,Ingmar Bergman
Oliver Stone,597,"Charlie Sheen,Tom Berenger,Willem Dafoe",Platoon,Oliver Stone
Sean Penn,527,"Emile Hirsch,Vince Vaughn,Catherine Keener",Into the Wild,"Sean Penn,Jon Krakauer"
Rob Reiner,429,"Wil Wheaton,River Phoenix,Corey Feldman",Stand by Me,"Stephen King,Raynold Gideon,1 more credit"
Joon-ho Bong,"1,842","Kang-ho Song,Sang-kyung Kim,Roe-ha Kim",Memories of Murder,"Joon-ho Bong,Kwang-rim Kim,1 more credit"
Jim Sheridan,"2,916","Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",In the Name of the Father,"Gerry Conlon,Terry George,1 more credit"
Andrei Tarkovsky,,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn",Stalker,"Arkadiy Strugatskiy,Boris Strugatskiy,2 more credits"
Wes Anderson,531,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",The Grand Budapest Hotel,"Stefan Zweig,Wes Anderson,2 more credits"
Peter Weir,751,"Jim Carrey,Ed Harris,Laura Linney",The Truman Show,Andrew Niccol
David Fincher,246,"Ben Affleck,Rosamund Pike,Neil Patrick Harris",Gone Girl,"Gillian Flynn,Gillian Flynn"
Damián Szifron,"2,152","Darío Grandinetti,María Marull,Mónica Villa",Wild Tales,"Germán Servidio,Damián Szifron"
Alfred Hitchcock,,"Laurence Olivier,Joan Fontaine,George Sanders",Rebecca,"Daphne Du Maurier,Robert E. Sherwood,3 more credits"
